#Data tag : 19v3 , Norm tag: None
run:fill,time,ncms,hltpath,delivered(/fb),recorded(/fb)
323492:7218,09/25/18 11:45:43,30,HLT_Mu8_IP5_part1_v2,0.001294781,0.001164639
323493:7218,09/25/18 11:58:37,140,HLT_Mu8_IP5_part1_v2,0.005659645,0.005475014
323495:7218,09/25/18 12:54:31,187,HLT_Mu8_IP5_part1_v2,0.006719408,0.006469305
323525:7221,09/26/18 03:52:15,847,HLT_Mu8_IP5_part1_v2,0.035546859,0.034227638
323526:7221,09/26/18 09:22:43,462,HLT_Mu8_IP5_part1_v2,0.013300212,0.012990139
323702:7234,09/29/18 08:56:34,808,HLT_Mu8_IP5_part1_v2,0.030035553,0.029191687
323727:7236,09/29/18 22:38:56,754,HLT_Mu8_IP5_part1_v2,0.037300098,0.036035369
323755:7239,09/30/18 15:23:16,297,HLT_Mu8_IP5_part1_v2,0.016450601,0.015941929
323778:7240,09/30/18 23:43:15,466,HLT_Mu8_IP5_part1_v2,0.024738430,0.023785745
323790:7242,10/01/18 11:27:45,301,HLT_Mu8_IP5_part1_v2,0.016544517,0.015671322
323794:7242,10/01/18 13:29:17,68,HLT_Mu8_IP5_part1_v2,0.003353672,0.003211321
323857:7245,10/02/18 02:52:59,312,HLT_Mu8_IP5_part1_v2,0.017041669,0.016442884
323940:7252,10/03/18 05:44:45,819,HLT_Mu8_IP5_part1_v2,0.039162125,0.037471298
323954:7252,10/03/18 11:06:37,77,HLT_Mu8_IP5_part1_v2,0.003142562,0.003028186
323983:7253,10/03/18 17:05:35,49,HLT_Mu8_IP5_part1_v2,0.003117238,0.002786932
323997:7253,10/03/18 17:30:39,498,HLT_Mu8_IP5_part1_v2,0.026920769,0.025758358
324021:7256,10/04/18 05:53:48,141,HLT_Mu8_IP5_part1_v2,0.008233381,0.007033170
324022:7256,10/04/18 06:50:15,554,HLT_Mu8_IP5_part1_v2,0.026373269,0.025557112
324201:7264,10/07/18 03:26:10,820,HLT_Mu8_IP5_part1_v2,0.038700126,0.037474602
324202:7264,10/07/18 08:49:38,236,HLT_Mu8_IP5_part1_v2,0.007948036,0.007777085
324205:7264,10/07/18 10:31:04,160,HLT_Mu8_IP5_part1_v2,0.004735542,0.004592692
324206:7264,10/07/18 11:38:14,141,HLT_Mu8_IP5_part1_v2,0.003818026,0.003504567
324207:7264,10/07/18 12:44:24,33,HLT_Mu8_IP5_part1_v2,0.000839056,0.000810916
324209:7264,10/07/18 13:02:20,142,HLT_Mu8_IP5_part1_v2,0.003277916,0.003215741
324245:7266,10/08/18 04:39:09,1175,HLT_Mu8_IP5_part1_v2,0.053621467,0.051756797
324293:7270,10/09/18 02:50:28,1730,HLT_Mu8_IP5_part1_v2,0.066577488,0.064607339
324318:7271,10/09/18 19:04:01,151,HLT_Mu8_IP5_part1_v2,0.009025985,0.008538958
324420:7274,10/11/18 03:49:19,99,HLT_Mu8_IP5_part1_v2,0.005408673,0.005227254
324729:7308,10/16/18 09:28:04,193,HLT_Mu8_IP5_part1_v2,0.003068557,0.002959319
324747:7309,10/16/18 16:10:41,573,HLT_Mu8_IP5_part1_v2,0.029730946,0.028289591
324764:7309,10/16/18 19:54:47,147,HLT_Mu8_IP5_part1_v2,0.006407619,0.006013076
324765:7309,10/16/18 20:52:50,478,HLT_Mu8_IP5_part1_v2,0.018095382,0.017535908
324769:7309,10/16/18 23:59:45,328,HLT_Mu8_IP5_part1_v2,0.009598021,0.009354009
324772:7309,10/17/18 02:48:00,165,HLT_Mu8_IP5_part1_v2,0.003837645,0.003756525
324785:7310,10/17/18 09:20:13,110,HLT_Mu8_IP5_part1_v2,0.006423159,0.006153951
324791:7310,10/17/18 10:04:47,1217,HLT_Mu8_IP5_part1_v2,0.050585823,0.049001445
324841:7314,10/18/18 02:05:59,1225,HLT_Mu8_IP5_part1_v2,0.054876125,0.053024051
324846:7314,10/18/18 10:06:07,515,HLT_Mu8_IP5_part1_v2,0.014130209,0.013710591
324878:7315,10/18/18 18:47:12,1327,HLT_Mu8_IP5_part1_v2,0.057253874,0.055436767
324970:7320,10/19/18 18:41:22,1725,HLT_Mu8_IP5_part1_v2,0.068102584,0.065742443
324980:7321,10/20/18 12:00:57,1685,HLT_Mu8_IP5_part1_v2,0.066273565,0.063786435
324999:7324,10/21/18 07:49:01,9,HLT_Mu8_IP5_part1_v2,0.000538550,0.000485945
325000:7324,10/21/18 08:03:55,371,HLT_Mu8_IP5_part1_v2,0.019642153,0.018932716
325001:7324,10/21/18 10:29:40,592,HLT_Mu8_IP5_part1_v2,0.024681355,0.023827608
325022:7328,10/22/18 05:24:48,278,HLT_Mu8_IP5_part1_v2,0.011361704,0.011042665
325100:7333,10/23/18 01:35:37,71,HLT_Mu8_IP5_part1_v2,0.004177774,0.003681875
325101:7333,10/23/18 02:07:46,482,HLT_Mu8_IP5_part1_v2,0.024550218,0.023654059
325110:7333,10/23/18 05:49:21,14,HLT_Mu8_IP5_part1_v2,0.000593802,0.000569329
325117:7333,10/23/18 07:39:08,531,HLT_Mu8_IP5_part1_v2,0.017596293,0.017043337
325159:7334,10/23/18 15:51:03,25,HLT_Mu8_IP5_part1_v2,0.001542931,0.001370960
325168:7334,10/23/18 16:09:33,18,HLT_Mu8_IP5_part1_v2,0.001105378,0.000857771
325169:7334,10/23/18 16:19:28,23,HLT_Mu8_IP5_part1_v2,0.001392058,0.001115524
325170:7334,10/23/18 16:31:17,1203,HLT_Mu8_IP5_part1_v2,0.054495141,0.052628497
325172:7334,10/24/18 00:23:24,472,HLT_Mu8_IP5_part1_v2,0.013949026,0.013527145
319909:6942,07/19/18 03:03:13,7,HLT_Mu8_IP5_part2_v2,0.002745400,0.001120242
320807:7017,08/03/18 15:28:46,7,HLT_Mu8_IP5_part2_v2,0.001319980,0.000348408
321165:7047,08/12/18 15:19:23,2,HLT_Mu8_IP5_part2_v2,0.000806762,0.000389898
321732:7080,08/24/18 03:39:55,749,HLT_Mu8_IP5_part2_v2,0.031562957,0.030379075
321735:7080,08/24/18 08:34:37,143,HLT_Mu8_IP5_part2_v2,0.004762623,0.004627397
321758:7083,08/24/18 18:55:41,65,HLT_Mu8_IP5_part2_v2,0.003208367,0.003090962
321760:7083,08/24/18 19:45:38,803,HLT_Mu8_IP5_part2_v2,0.030032291,0.029167247
321780:7087,08/25/18 18:13:20,305,HLT_Mu8_IP5_part2_v2,0.014005291,0.013602371
321781:7087,08/25/18 20:38:11,380,HLT_Mu8_IP5_part2_v2,0.014114022,0.013601820
321817:7090,08/26/18 15:41:15,18,HLT_Mu8_IP5_part2_v2,0.000893481,0.000776592
321818:7090,08/26/18 15:50:06,690,HLT_Mu8_IP5_part2_v2,0.028577977,0.027603081
321820:7090,08/26/18 20:26:15,214,HLT_Mu8_IP5_part2_v2,0.006576181,0.006413792
321832:7091,08/27/18 06:19:01,307,HLT_Mu8_IP5_part2_v2,0.014132635,0.013506984
321833:7091,08/27/18 08:27:00,398,HLT_Mu8_IP5_part2_v2,0.015375776,0.014838155
321834:7091,08/27/18 11:05:28,333,HLT_Mu8_IP5_part2_v2,0.010313942,0.009961901
321909:7097,08/28/18 19:38:26,1173,HLT_Mu8_IP5_part2_v2,0.043015886,0.041745608
321973:7105,08/30/18 15:57:29,252,HLT_Mu8_IP5_part2_v2,0.011810851,0.011220838
321975:7105,08/30/18 17:37:18,866,HLT_Mu8_IP5_part2_v2,0.030155747,0.029156757
321988:7108,08/31/18 10:48:42,377,HLT_Mu8_IP5_part2_v2,0.016426444,0.015706376
321990:7108,08/31/18 13:16:37,471,HLT_Mu8_IP5_part2_v2,0.016665373,0.016206390
322022:7110,09/01/18 03:19:47,794,HLT_Mu8_IP5_part2_v2,0.032624918,0.031611097
322118:7122,09/03/18 12:41:31,48,HLT_Mu8_IP5_part2_v2,0.002389720,0.002303077
322179:7123,09/03/18 23:13:02,729,HLT_Mu8_IP5_part2_v2,0.030293371,0.029253710
322204:7124,09/04/18 12:22:35,377,HLT_Mu8_IP5_part2_v2,0.017133755,0.016340771
322222:7124,09/04/18 14:53:45,526,HLT_Mu8_IP5_part2_v2,0.019261203,0.018548845
322252:7125,09/05/18 02:39:59,591,HLT_Mu8_IP5_part2_v2,0.025785552,0.024533908
322322:7127,09/05/18 18:09:58,481,HLT_Mu8_IP5_part2_v2,0.021707064,0.020833795
322324:7127,09/05/18 21:27:53,416,HLT_Mu8_IP5_part2_v2,0.014264658,0.013851950
322332:7128,09/06/18 08:03:33,114,HLT_Mu8_IP5_part2_v2,0.005610134,0.005454838
322348:7131,09/06/18 20:00:54,495,HLT_Mu8_IP5_part2_v2,0.021577966,0.020903324
322356:7132,09/07/18 06:46:48,3,HLT_Mu8_IP5_part2_v2,0.000149158,0.000145253
322431:7137,09/08/18 06:59:25,1045,HLT_Mu8_IP5_part2_v2,0.041061175,0.039680289
322492:7139,09/08/18 22:52:13,1087,HLT_Mu8_IP5_part2_v2,0.043255806,0.041754765
322617:7144,09/09/18 22:20:09,427,HLT_Mu8_IP5_part2_v2,0.019113844,0.018417036
322625:7145,09/10/18 09:35:02,193,HLT_Mu8_IP5_part2_v2,0.009217640,0.008844594
322633:7145,09/10/18 10:51:34,249,HLT_Mu8_IP5_part2_v2,0.010524938,0.010189123
323414:7213,09/24/18 01:57:29,24,HLT_Mu8_IP5_part2_v2,0.000923813,0.000789321
323473:7217,09/24/18 18:59:33,24,HLT_Mu8_IP5_part2_v2,0.001277360,0
323474:7217,09/24/18 19:42:20,352,HLT_Mu8_IP5_part2_v2,0.016074716,0.015561554
323475:7217,09/24/18 22:00:42,77,HLT_Mu8_IP5_part2_v2,0.002962463,0.002838816
323488:7218,09/25/18 09:22:38,301,HLT_Mu8_IP5_part2_v2,0.013600282,0.013142276
323492:7218,09/25/18 11:45:43,30,HLT_Mu8_IP5_part2_v2,0.001294781,0.001164639
323493:7218,09/25/18 11:58:37,140,HLT_Mu8_IP5_part2_v2,0.005659645,0.005475014
323495:7218,09/25/18 12:54:31,187,HLT_Mu8_IP5_part2_v2,0.006719408,0.006469305
323525:7221,09/26/18 03:52:15,847,HLT_Mu8_IP5_part2_v2,0.035546859,0.034227638
323526:7221,09/26/18 09:22:43,462,HLT_Mu8_IP5_part2_v2,0.013300212,0.012990139
323702:7234,09/29/18 08:56:34,808,HLT_Mu8_IP5_part2_v2,0.030035553,0.029191687
323727:7236,09/29/18 22:38:56,754,HLT_Mu8_IP5_part2_v2,0.037300098,0.036035369
323755:7239,09/30/18 15:23:16,297,HLT_Mu8_IP5_part2_v2,0.016450601,0.015941929
323778:7240,09/30/18 23:43:15,466,HLT_Mu8_IP5_part2_v2,0.024738430,0.023785745
323790:7242,10/01/18 11:27:45,301,HLT_Mu8_IP5_part2_v2,0.016544517,0.015671322
323794:7242,10/01/18 13:29:17,68,HLT_Mu8_IP5_part2_v2,0.003353672,0.003211321
323857:7245,10/02/18 02:52:59,312,HLT_Mu8_IP5_part2_v2,0.017041669,0.016442884
323940:7252,10/03/18 05:44:45,819,HLT_Mu8_IP5_part2_v2,0.039162125,0.037471298
323954:7252,10/03/18 11:06:37,77,HLT_Mu8_IP5_part2_v2,0.003142562,0.003028186
323983:7253,10/03/18 17:05:35,49,HLT_Mu8_IP5_part2_v2,0.003117238,0.002786932
323997:7253,10/03/18 17:30:39,498,HLT_Mu8_IP5_part2_v2,0.026920769,0.025758358
324021:7256,10/04/18 05:53:48,141,HLT_Mu8_IP5_part2_v2,0.008233381,0.007033170
324022:7256,10/04/18 06:50:15,554,HLT_Mu8_IP5_part2_v2,0.026373269,0.025557112
324201:7264,10/07/18 03:26:10,820,HLT_Mu8_IP5_part2_v2,0.038700126,0.037474602
324202:7264,10/07/18 08:49:38,236,HLT_Mu8_IP5_part2_v2,0.007948036,0.007777085
324205:7264,10/07/18 10:31:04,160,HLT_Mu8_IP5_part2_v2,0.004735542,0.004592692
324206:7264,10/07/18 11:38:14,141,HLT_Mu8_IP5_part2_v2,0.003818026,0.003504567
324207:7264,10/07/18 12:44:24,33,HLT_Mu8_IP5_part2_v2,0.000839056,0.000810916
324209:7264,10/07/18 13:02:20,142,HLT_Mu8_IP5_part2_v2,0.003277916,0.003215741
324245:7266,10/08/18 04:39:09,1175,HLT_Mu8_IP5_part2_v2,0.053621467,0.051756797
324293:7270,10/09/18 02:50:28,1730,HLT_Mu8_IP5_part2_v2,0.066577488,0.064607339
324318:7271,10/09/18 19:04:01,151,HLT_Mu8_IP5_part2_v2,0.009025985,0.008538958
324420:7274,10/11/18 03:49:19,99,HLT_Mu8_IP5_part2_v2,0.005408673,0.005227254
324729:7308,10/16/18 09:28:04,193,HLT_Mu8_IP5_part2_v2,0.003068557,0.002959319
324747:7309,10/16/18 16:10:41,573,HLT_Mu8_IP5_part2_v2,0.029730946,0.028289591
324764:7309,10/16/18 19:54:47,147,HLT_Mu8_IP5_part2_v2,0.006407619,0.006013076
324765:7309,10/16/18 20:52:50,478,HLT_Mu8_IP5_part2_v2,0.018095382,0.017535908
324769:7309,10/16/18 23:59:45,328,HLT_Mu8_IP5_part2_v2,0.009598021,0.009354009
324772:7309,10/17/18 02:48:00,165,HLT_Mu8_IP5_part2_v2,0.003837645,0.003756525
324785:7310,10/17/18 09:20:13,110,HLT_Mu8_IP5_part2_v2,0.006423159,0.006153951
324791:7310,10/17/18 10:04:47,1217,HLT_Mu8_IP5_part2_v2,0.050585823,0.049001445
324841:7314,10/18/18 02:05:59,1225,HLT_Mu8_IP5_part2_v2,0.054876125,0.053024051
324846:7314,10/18/18 10:06:07,515,HLT_Mu8_IP5_part2_v2,0.014130209,0.013710591
324878:7315,10/18/18 18:47:12,1327,HLT_Mu8_IP5_part2_v2,0.057253874,0.055436767
324970:7320,10/19/18 18:41:22,1725,HLT_Mu8_IP5_part2_v2,0.068102584,0.065742443
324980:7321,10/20/18 12:00:57,1685,HLT_Mu8_IP5_part2_v2,0.066273565,0.063786435
